name,upper_region_id,upper_region_name
프립Live,1,온라인
종로구,2,서울
중구,2,서울
용산구,2,서울
성동구,2,서울
광진구,2,서울
동대문구,2,서울
중랑구,2,서울
성북구,2,서울
강북구,2,서울
도봉구,2,서울
노원구,2,서울
은평구,2,서울
서대문구,2,서울
마포구,2,서울
양천구,2,서울
강서구,2,서울
구로구,2,서울
금천구,2,서울
영등포구,2,서울
동작구,2,서울
관악구,2,서울
서초구,2,서울
강남구,2,서울
송파구,2,서울
강동구,2,서울
중구,3,인천
동구,3,인천
미추홀구,3,인천
연수구,3,인천
남동구,3,인천
부평구,3,인천
계양구,3,인천
서구,3,인천
강화군,3,인천
옹진군,3,인천
동구,4,대전
중구,4,대전
서구,4,대전
유성구,4,대전
대덕구,4,대전
중구,5,대구
동구,5,대구
서구,5,대구
남구,5,대구
북구,5,대구
수성구,5,대구
달서구,5,대구
달성군,5,대구
중구,6,울산
남구,6,울산
동구,6,울산
북구,6,울산
울주군,6,울산
중구,7,부산
서구,7,부산
동구,7,부산
영도구,7,부산
부산진구,7,부산
동래구,7,부산
남구,7,부산
북구,7,부산
강서구,7,부산
해운대구,7,부산
사하구,7,부산
금정구,7,부산
연제구,7,부산
수영구,7,부산
사상구,7,부산
기장군,7,부산
동구,8,광주
서구,8,광주
남구,8,광주
북구,8,광주
광산구,8,광주
수원시,9,경기
성남시,9,경기
안양시,9,경기
안산시,9,경기
용인시,9,경기
부천시,9,경기
광명시,9,경기
평택시,9,경기
과천시,9,경기
오산시,9,경기
시흥시,9,경기
군포시,9,경기
의왕시,9,경기
하남시,9,경기
이천시,9,경기
안성시,9,경기
김포시,9,경기
화성시,9,경기
광주시,9,경기
여주시,9,경기
양평군,9,경기
고양시,9,경기
의정부시,9,경기
동두천시,9,경기
구리시,9,경기
남양주시,9,경기
파주시,9,경기
양주시,9,경기
포천시,9,경기
연천군,9,경기
가평군,9,경기
춘천시,10,강원
원주시,10,강원
강릉시,10,강원
동해시,10,강원
태백시,10,강원
속초시,10,강원
삼척시,10,강원
홍천군,10,강원
횡성군,10,강원
영월군,10,강원
평창군,10,강원
정선군,10,강원
철원군,10,강원
화천군,10,강원
양구군,10,강원
인제군,10,강원
고성군,10,강원
양양군,10,강원
천안시,11,충남
공주시,11,충남
보령시,11,충남
아산시,11,충남
서산시,11,충남
논산시,11,충남
계룡시,11,충남
당진시,11,충남
금산군,11,충남
부여군,11,충남
서천군,11,충남
청양군,11,충남
홍성군,11,충남
예산군,11,충남
태안군,11,충남
청주시,12,충북
충주시,12,충북
제천시,12,충북
보은군,12,충북
옥천군,12,충북
영동군,12,충북
증평군,12,충북
진천군,12,충북
괴산군,12,충북
음성군,12,충북
단양군,12,충북
포항시,13,경북
경주시,13,경북
김천시,13,경북
안동시,13,경북
구미시,13,경북
영주시,13,경북
영천시,13,경북
상주시,13,경북
문경시,13,경북
경산시,13,경북
군위군,13,경북
의성군,13,경북
청송군,13,경북
영양군,13,경북
영덕군,13,경북
청도군,13,경북
고령군,13,경북
성주군,13,경북
칠곡군,13,경북
예천군,13,경북
봉화군,13,경북
울진군,13,경북
울릉군,13,경북
창원시,14,경남
진주시,14,경남
통영시,14,경남
사천시,14,경남
김해시,14,경남
밀양시,14,경남
거제시,14,경남
양산시,14,경남
의령군,14,경남
함안군,14,경남
창녕군,14,경남
고성군,14,경남
남해군,14,경남
하동군,14,경남
산청군,14,경남
함양군,14,경남
거창군,14,경남
합천군,14,경남
전주시,15,전북
군산시,15,전북
익산시,15,전북
정읍시,15,전북
남원시,15,전북
김제시,15,전북
완주군,15,전북
진안군,15,전북
무주군,15,전북
장수군,15,전북
임실군,15,전북
순창군,15,전북
고창군,15,전북
부안군,15,전북
목포시,16,전남
여수시,16,전남
순천시,16,전남
나주시,16,전남
광양시,16,전남
담양군,16,전남
곡성군,16,전남
구례군,16,전남
고흥군,16,전남
보성군,16,전남
화순군,16,전남
장흥군,16,전남
강진군,16,전남
해남군,16,전남
영암군,16,전남
무안군,16,전남
함평군,16,전남
영광군,16,전남
장성군,16,전남
완도군,16,전남
진도군,16,전남
신안군,16,전남
제주시,17,제북
서귀포시,17,제주